id,title,agoda_accommodation_ids,high_rating_accommodation_names
HwEUknU59e83rhocKr,Austrian Grand Prix,"nan,nan,nan,nan,nan,nan,nan,nan,nan","Hubertushof - Self Check-in,GPtents | Camping F1 & MotoGP Spielberg, Austria,Schönberghof Spielberg,G'Schlössl Murtal,Steirerschlössl,Burg Rooms,MT Hotel,Hotel Restaurant Perschler,Restaurant/Gasthaus GenussSpecht"
J4uWW9nThjJhpMH42F,Louis Vuitton America's Cup,"48015.0,nan,2910685.0,nan,nan,nan,nan,nan,nan,11290.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,149803.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,149803.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,149803.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,149803.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,149803.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,149803.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,149803.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50819.0,nan,nan,66672.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","Gallery Hotel,Hotel Condes de Barcelona,Alexandra Barcelona Hotel, Curio Collection by Hilton,Hotel Claris,Hotel Hesperia Presidente Barcelona,Hotel Sagrada Família,Hotel HCC St. Moritz,Hotel NH Collection Barcelona Gran Hotel Calderón,Axel Hotel Barcelona,Meliá Barcelona Sarrià,H10 Catalunya Plaça Boutique Hotel,Hotel Pulitzer,Hotel HCC Montblanc,Hotel NH Collection Barcelona Constanza,Hotel NH Barcelona Centro,Le Méridien Barcelona,Hotel Silken Ramblas,Grand Hotel Central,H10 Itaca,Hotel Arts Barcelona,Hotel SB Icària,Sallès Hotel Pere IV,Occidental Atenea Mar,H10 Montcada,Grand Hotel Central,Novotel Barcelona City,W Barcelona,Eurostars Grand Marina,Hotel HCC Montblanc,Oriente Atiram Hotel Barcelona,Hotel NH Barcelona Centro,Hotel España,Hotel Catalonia La Boqueria,Le Méridien Barcelona,Hilton Diagonal Mar Barcelona,Hotel Silken Ramblas,H10 Catalunya Plaça Boutique Hotel,Hotel Vincci Bit,Hotel Arts Barcelona,Hotel SB Icària,Sallès Hotel Pere IV,Occidental Atenea Mar,H10 Montcada,Grand Hotel Central,Novotel Barcelona City,W Barcelona,Eurostars Grand Marina,Hotel HCC Montblanc,Oriente Atiram Hotel Barcelona,Hotel NH Barcelona Centro,Hotel España,Hotel Catalonia La Boqueria,Le Méridien Barcelona,Hilton Diagonal Mar Barcelona,Hotel Silken Ramblas,H10 Catalunya Plaça Boutique Hotel,Hotel Vincci Bit,Hotel Arts Barcelona,Hotel SB Icària,Sallès Hotel Pere IV,Occidental Atenea Mar,H10 Montcada,Grand Hotel Central,Novotel Barcelona City,W Barcelona,Eurostars Grand Marina,Hotel HCC Montblanc,Oriente Atiram Hotel Barcelona,Hotel NH Barcelona Centro,Hotel España,Hotel Catalonia La Boqueria,Le Méridien Barcelona,Hilton Diagonal Mar Barcelona,Hotel Silken Ramblas,H10 Catalunya Plaça Boutique Hotel,Hotel Vincci Bit,Hotel Arts Barcelona,Hotel SB Icària,Sallès Hotel Pere IV,Occidental Atenea Mar,H10 Montcada,Grand Hotel Central,Novotel Barcelona City,W Barcelona,Eurostars Grand Marina,Hotel HCC Montblanc,Oriente Atiram Hotel Barcelona,Hotel NH Barcelona Centro,Hotel España,Hotel Catalonia La Boqueria,Le Méridien Barcelona,Hilton Diagonal Mar Barcelona,Hotel Silken Ramblas,H10 Catalunya Plaça Boutique Hotel,Hotel Vincci Bit,Hotel Arts Barcelona,Hotel SB Icària,Sallès Hotel Pere IV,Occidental Atenea Mar,H10 Montcada,Grand Hotel Central,Novotel Barcelona City,W Barcelona,Eurostars Grand Marina,Hotel HCC Montblanc,Oriente Atiram Hotel Barcelona,Hotel NH Barcelona Centro,Hotel España,Hotel Catalonia La Boqueria,Le Méridien Barcelona,Hilton Diagonal Mar Barcelona,Hotel Silken Ramblas,H10 Catalunya Plaça Boutique Hotel,Hotel Vincci Bit,Hotel Arts Barcelona,Hotel SB Icària,Sallès Hotel Pere IV,Occidental Atenea Mar,H10 Montcada,Grand Hotel Central,Novotel Barcelona City,W Barcelona,Eurostars Grand Marina,Hotel HCC Montblanc,Oriente Atiram Hotel Barcelona,Hotel NH Barcelona Centro,Hotel España,Hotel Catalonia La Boqueria,Le Méridien Barcelona,Hilton Diagonal Mar Barcelona,Hotel Silken Ramblas,H10 Catalunya Plaça Boutique Hotel,Hotel Vincci Bit,Hotel Arts Barcelona,Hotel SB Icària,Sallès Hotel Pere IV,Occidental Atenea Mar,H10 Montcada,Grand Hotel Central,Novotel Barcelona City,W Barcelona,Eurostars Grand Marina,Hotel HCC Montblanc,Oriente Atiram Hotel Barcelona,Hotel NH Barcelona Centro,Hotel España,Hotel Catalonia La Boqueria,Le Méridien Barcelona,Hilton Diagonal Mar Barcelona,Hotel Silken Ramblas,H10 Catalunya Plaça Boutique Hotel,Hotel Vincci Bit,Hotel Barcelona Princess,AC Hotel Barcelona Forum,Hilton Diagonal Mar Barcelona,Hotel Vincci Bit,Hotel Barcelona Condal Mar Affiliated by Meliá,Occidental Atenea Mar,Hotel SB Icària,Novotel Barcelona City,Sallès Hotel Pere IV,Hotel Arts Barcelona,Hotel Sagrada Família,Four Points by Sheraton Barcelona Diagonal,Everest,ibis Barcelona Plaza Glòries 22,Hotel & Spa Villa Olímpic@ Suites,Hotel Catalonia Atenas,H10 Montcada"
7eVJLZwoLUDq8zud2u,OzAsia Festival,"11627.0,nan,11631.0,446000.0,45374.0,6935.0,11630.0,nan,nan,nan,3132716.0,nan,245891.0","Adina Apartment Hotel Adelaide Treasury,Rydges South Park Adelaide,Peppers Waymouth Adelaide,YHA Adelaide Central,Quality Apartments Adelaide Central,Hilton Adelaide,The Playford Adelaide - MGallery,Adelaide Rockford,InterContinental Adelaide, an IHG Hotel,Arkaba Hotel,Hotel Grand Chancellor Adelaide,Hotel Richmond,North Adelaide Boutique Stays Accommodation"
6vyuiCEBYzAoji8vUp,Blackpool Air Show,"nan,nan,74786.0,nan,nan,nan,nan,nan,27820474.0,nan,nan,nan,nan,74786.0,nan,nan,nan,nan,nan,27820474.0,nan,nan,nan,nan,74786.0,nan,nan,nan,nan,nan,27820474.0,nan,nan,nan,nan,74786.0,nan,nan,nan,nan,nan,27820474.0,nan,nan,nan,nan,74786.0,nan,nan,nan,nan,nan,27820474.0,nan,nan","Premier Inn Blackpool (Beach) hotel,The Big Blue Hotel,Claremont Hotel,Cliffs Hotel,Queens Hotel, Blackpool,Tiffany's Hotel,The Carousel,Doric Hotel,Park House Hotel,Viking Hotel,HOTEL SHERATON,Premier Inn Blackpool (Beach) hotel,The Big Blue Hotel,Claremont Hotel,Cliffs Hotel,Queens Hotel, Blackpool,Tiffany's Hotel,The Carousel,Doric Hotel,Park House Hotel,Viking Hotel,HOTEL SHERATON,Premier Inn Blackpool (Beach) hotel,The Big Blue Hotel,Claremont Hotel,Cliffs Hotel,Queens Hotel, Blackpool,Tiffany's Hotel,The Carousel,Doric Hotel,Park House Hotel,Viking Hotel,HOTEL SHERATON,Premier Inn Blackpool (Beach) hotel,The Big Blue Hotel,Claremont Hotel,Cliffs Hotel,Queens Hotel, Blackpool,Tiffany's Hotel,The Carousel,Doric Hotel,Park House Hotel,Viking Hotel,HOTEL SHERATON,Premier Inn Blackpool (Beach) hotel,The Big Blue Hotel,Claremont Hotel,Cliffs Hotel,Queens Hotel, Blackpool,Tiffany's Hotel,The Carousel,Doric Hotel,Park House Hotel,Viking Hotel,HOTEL SHERATON"
7qYEgZmMvouVdSmxFH,Festival Della Scienza,"nan,13822351.0,13824465.0,nan,176819.0,10282953.0,9360781.0,26931546.0,nan,nan,122591.0,nan,13824582.0","Hotel NH Collection Genova Marina,Best Western Hotel Moderno Verdi,Best Western Hotel Metropoli,Best Western Hotel Porto Antico Genoa,Hotel Cairoli,Best Western Plus City Hotel,Hotel Bristol Palace,Hotel Astoria,Meliá Genova,AC Hotel Genova,Hotel Assarotti,Hotel NH Genova Centro,Hotel Bel Soggiorno"
Hb3Ukau4AnXJKGHuAU,Bernkasteler Weinfest,"nan,nan,nan,13829315.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","Weinromantikhotel Richtershof,Hotel Bären,Hotel Binz,burgblickhotel,Moselblümchen - indian Restaurant,Schloßhotel Raatz-Daub,Hotel Sankt Maximilian,Hotel Römischer Kaiser,Märchenhotel,Hotel & Ferienwohnung Cafe Rosi,Weinhaus Hotel zum Josefshof,Hotel-Café Ernst,Hotel Nicolay 1881,Zeltinger Hof,Weinhotel & Restaurant Platz,Christiana's Wein&Art Hotel,Hotel Doctor Weinstube,Hotel Weisser Bär"
43ExgeBGeXgDTFksp9,Deauville Amer­i­can Film Fes­ti­val,"13828211.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1179005.0","ibis Deauville Centre,Hotel Barrière Le Normandy Deauville,Royal Barriere Hotel,Hôtel Mercure Deauville Centre,Best Western Hostellerie du Vallon,Hôtel Barrière L'Hôtel du Golf Deauville,Hôtel Flaubert,Hôtel Le Fer à Cheval,Les Manoirs de Tourgéville,Hotel Le Patio,Hotel Le Trouville,ibis Styles Deauville Centre"
6SogcJhcPUoESA8LHa,Taipei Gay Pride Parade,"nan,nan,186460.0,nan,294781.0,nan,nan,nan,nan,nan,638898.0,nan,149.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7767.0,nan,nan,335043.0,nan,nan,nan,nan,nan,161866.0,nan,nan,nan,335042.0,nan,nan,nan","CityInn Hotel Taipei Station One,Inhouse Hotel Heritage,Palais de Chine Hotel,Fullon Hotel Taipei Central,amba Taipei Ximending,Shangri-La Far Eastern, Taipei,AMBASSADOR Hotel Taipei,The Howard Plaza Hotel Taipei,The Landis Taipei,Taipei Fullerton Hotel-Fuxing South,Tomorrow Hotel,Grand Hotel Taipei,Sheraton Grand Taipei Hotel,Les Suites Hotel Taipei Qingcheng,Evergreen Laurel Hotel Taipei,Palais de Chine Hotel,CityInn Hotel Taipei Station One,Inhouse Hotel Heritage,amba Taipei Ximending,Fullon Hotel Taipei Central,Grand Hotel Taipei,AMBASSADOR Hotel Taipei,The Landis Taipei,Les Suites Hotel Taipei Qingcheng,Tomorrow Hotel,Sheraton Grand Taipei Hotel,Taipei Fullerton North,The Howard Plaza Hotel Taipei,Evergreen Laurel Hotel Taipei,Fullon Hotel Taipei Central,Shangri-La Far Eastern, Taipei,AMBASSADOR Hotel Taipei,The Howard Plaza Hotel Taipei,W Taipei,Taipei Fullerton Hotel-Fuxing South,Les Suites Hotel Taipei Qingcheng,Taipei Fullerton North,Evergreen Laurel Hotel Taipei,Palais de Chine Hotel,Park Taipei Hotel,Citizen Hotel,Sheraton Grand Taipei Hotel,Dolamanco Hotel,Le Méridien Taipei,丹迪旅店大安森林公園店 Dandy Hotel Daan Park Branch,The Landis Taipei,福泰綠園公寓 Green Garden Apartments"
4Nuj7TMrmuPRNZTQ6C,IFA,"nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,287410.0,13836034.0,3277492.0,155396.0,nan,nan,nan,51648.0,777139.0,5607.0,nan,77958.0,nan,nan,115687.0,nan,nan,287410.0,3277492.0,nan,155396.0,nan,13836034.0,51648.0,5607.0,777139.0,nan,nan,nan,nan,nan,77958.0,nan,nan,115687.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan","Hotel am Borsigturm,AMERON Berlin ABION Spreebogen Waterside,Mercure Hotel MOA Berlin,Alfa Hotel,Amstel House Hostel Berlin,Hotel Tiergarten Berlin,Hotel Les Nations,Schlosspark-Hotel,Victor's Residenz-Hotel Berlin-Tegel,Jugendgästehaus Hauptbahnhof,Hotel Berlin, Berlin, a member of Radisson Individuals,Scandic Berlin Potsdamer Platz,Pestana Berlin Tiergarten,SORAT Hotel Berlin,InterContinental Berlin, an IHG Hotel,Hotel Air in Berlin,Mövenpick Hotel Berlin,The Ritz-Carlton, Berlin,Berlin Marriott Hotel,Hotel Palace Berlin,Ellington Hotel Berlin,ibis Berlin City Potsdamer Platz,Hotel NH Berlin Potsdamer Platz,relexa hotel Berlin,Three Little Pigs Hostel Berlin,Dorint Kurfürstendamm Berlin,Hotel Motel One Berlin-Bellevue,Hotel Berlin, Berlin, a member of Radisson Individuals,Pestana Berlin Tiergarten,InterContinental Berlin, an IHG Hotel,SORAT Hotel Berlin,Hotel Air in Berlin,Scandic Berlin Potsdamer Platz,The Ritz-Carlton, Berlin,Hotel Palace Berlin,Berlin Marriott Hotel,Hotel Motel One Berlin-Bellevue,Ellington Hotel Berlin,Mövenpick Hotel Berlin,Dorint Kurfürstendamm Berlin,Hotel Adlon Kempinski Berlin,ibis Berlin City Potsdamer Platz,relexa hotel Berlin,Lindner Hotel Berlin Ku'damm - JDV by Hyatt,Three Little Pigs Hostel Berlin,Abba Berlin Hotel,Park Plaza Berlin,Hotel NH Berlin Kurfürstendamm,Hampton by Hilton Berlin City West,Lindner Hotel Berlin Ku'damm - JDV by Hyatt,Dorint Kurfürstendamm Berlin,HYPERION Hotel Berlin,Ellington Hotel Berlin,Aspria Berlin Ku’damm,Hotel Palace Berlin,Hotel Air in Berlin,Hotel Q! Berlin,Hotel Bristol Berlin,SORAT Hotel Berlin,Abba Berlin Hotel,Park Plaza Berlin,Hotel NH Berlin Kurfürstendamm,Hampton by Hilton Berlin City West,Lindner Hotel Berlin Ku'damm - JDV by Hyatt,Dorint Kurfürstendamm Berlin,HYPERION Hotel Berlin,Aspria Berlin Ku’damm,Ellington Hotel Berlin,Hotel Palace Berlin,Hotel Q! Berlin,Hotel Air in Berlin,Hotel Bristol Berlin,Aspria Berlin Ku’damm,Ringhotel Seehof Berlin,Hotel Herbst Berlin,Hotel Bernstein Villa Kastania,ibis Berlin Spandau,Select Hotel Berlin Spiegelturm,St.-Michaels-Heim Jugendgästehaus & Hotel,Westlife Apart Hotel Berlin Charlottenburg,Hotel Benn,Seehotel Grunewald,centrovital,Aspria Berlin Ku’damm,Ringhotel Seehof Berlin,Hotel Herbst Berlin,Hotel Bernstein Villa Kastania,ibis Berlin Spandau,Select Hotel Berlin Spiegelturm,St.-Michaels-Heim Jugendgästehaus & Hotel,Hotel Benn,Westlife Apart Hotel Berlin Charlottenburg,centrovital,Seehotel Grunewald"
CgsTwTre4T8cxdfgRH,EQUITA LYON,"nan,nan,nan,nan,nan,nan,13827142.0,nan,nan","Hôtel Gatsby by HappyCulture,Best Western Plus Hôtel & Spa de Chassieu,Hôtel Kyriad Lyon Bron Eurexpo Le Cottage,B&B HOTEL Lyon Eurexpo Bron,DoubleTree by Hilton Lyon Eurexpo,Campanile,Novotel Lyon Bron Eurexpo,Hôtel Kyriad Prestige & Spa Lyon Saint Priest,Hôtel Mercure Lyon Genas Eurexpo"
